Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
07/06/2025,1,1,N,LZ_HOUSTON,LZ,30.89
07/06/2025,1,2,N,LZ_HOUSTON,LZ,28.21
07/06/2025,1,3,N,LZ_HOUSTON,LZ,26.66
07/06/2025,1,4,N,LZ_HOUSTON,LZ,26.45
07/06/2025,2,1,N,LZ_HOUSTON,LZ,25.83
07/06/2025,2,2,N,LZ_HOUSTON,LZ,25.73
07/06/2025,2,3,N,LZ_HOUSTON,LZ,26.93
07/06/2025,2,4,N,LZ_HOUSTON,LZ,26.84
07/06/2025,3,1,N,LZ_HOUSTON,LZ,26.84
07/06/2025,3,2,N,LZ_HOUSTON,LZ,26.42
07/06/2025,3,3,N,LZ_HOUSTON,LZ,27.28
07/06/2025,3,4,N,LZ_HOUSTON,LZ,26.86
07/06/2025,4,1,N,LZ_HOUSTON,LZ,27.02
07/06/2025,4,2,N,LZ_HOUSTON,LZ,26.93
07/06/2025,4,3,N,LZ_HOUSTON,LZ,26.79
07/06/2025,4,4,N,LZ_HOUSTON,LZ,26.25
07/06/2025,5,1,N,LZ_HOUSTON,LZ,26.61
07/06/2025,5,2,N,LZ_HOUSTON,LZ,26.41
07/06/2025,5,3,N,LZ_HOUSTON,LZ,29.89
07/06/2025,5,4,N,LZ_HOUSTON,LZ,27.81
07/06/2025,6,1,N,LZ_HOUSTON,LZ,27.23
07/06/2025,6,2,N,LZ_HOUSTON,LZ,26.36
07/06/2025,6,3,N,LZ_HOUSTON,LZ,25.92
07/06/2025,6,4,N,LZ_HOUSTON,LZ,25.61
07/06/2025,7,1,N,LZ_HOUSTON,LZ,25.57
07/06/2025,7,2,N,LZ_HOUSTON,LZ,24.69
07/06/2025,7,3,N,LZ_HOUSTON,LZ,24.39
07/06/2025,7,4,N,LZ_HOUSTON,LZ,24.06
07/06/2025,8,1,N,LZ_HOUSTON,LZ,23.93
07/06/2025,8,2,N,LZ_HOUSTON,LZ,23.35
07/06/2025,8,3,N,LZ_HOUSTON,LZ,22.34
07/06/2025,8,4,N,LZ_HOUSTON,LZ,22.21
07/06/2025,9,1,N,LZ_HOUSTON,LZ,23.28
07/06/2025,9,2,N,LZ_HOUSTON,LZ,22.34
07/06/2025,9,3,N,LZ_HOUSTON,LZ,22.17
07/06/2025,9,4,N,LZ_HOUSTON,LZ,22.36
07/06/2025,10,1,N,LZ_HOUSTON,LZ,23.15
07/06/2025,10,2,N,LZ_HOUSTON,LZ,23.82
07/06/2025,10,3,N,LZ_HOUSTON,LZ,24.03
07/06/2025,10,4,N,LZ_HOUSTON,LZ,22.99
07/06/2025,11,1,N,LZ_HOUSTON,LZ,23.07
07/06/2025,11,2,N,LZ_HOUSTON,LZ,23.70
07/06/2025,11,3,N,LZ_HOUSTON,LZ,22.94
07/06/2025,11,4,N,LZ_HOUSTON,LZ,22.68
07/06/2025,12,1,N,LZ_HOUSTON,LZ,23.41
07/06/2025,12,2,N,LZ_HOUSTON,LZ,22.40
07/06/2025,12,3,N,LZ_HOUSTON,LZ,22.92
07/06/2025,12,4,N,LZ_HOUSTON,LZ,22.73
07/06/2025,13,1,N,LZ_HOUSTON,LZ,22.94
07/06/2025,13,2,N,LZ_HOUSTON,LZ,22.31
07/06/2025,13,3,N,LZ_HOUSTON,LZ,23.36
07/06/2025,13,4,N,LZ_HOUSTON,LZ,23.73
07/06/2025,14,1,N,LZ_HOUSTON,LZ,26.13
07/06/2025,14,2,N,LZ_HOUSTON,LZ,26.02
07/06/2025,14,3,N,LZ_HOUSTON,LZ,25.04
07/06/2025,14,4,N,LZ_HOUSTON,LZ,25.33
07/06/2025,15,1,N,LZ_HOUSTON,LZ,24.67
07/06/2025,15,2,N,LZ_HOUSTON,LZ,25.24
07/06/2025,15,3,N,LZ_HOUSTON,LZ,28.45
07/06/2025,15,4,N,LZ_HOUSTON,LZ,26.82
07/06/2025,16,1,N,LZ_HOUSTON,LZ,26.75
07/06/2025,16,2,N,LZ_HOUSTON,LZ,25.23
07/06/2025,16,3,N,LZ_HOUSTON,LZ,25.76
07/06/2025,16,4,N,LZ_HOUSTON,LZ,24.87
07/06/2025,17,1,N,LZ_HOUSTON,LZ,24.60
07/06/2025,17,2,N,LZ_HOUSTON,LZ,26.31
07/06/2025,17,3,N,LZ_HOUSTON,LZ,25.68
07/06/2025,17,4,N,LZ_HOUSTON,LZ,29.22
07/06/2025,18,1,N,LZ_HOUSTON,LZ,29
07/06/2025,18,2,N,LZ_HOUSTON,LZ,29.26
07/06/2025,18,3,N,LZ_HOUSTON,LZ,24.40
07/06/2025,18,4,N,LZ_HOUSTON,LZ,26.56
07/06/2025,19,1,N,LZ_HOUSTON,LZ,23.55
07/06/2025,19,2,N,LZ_HOUSTON,LZ,25.61
07/06/2025,19,3,N,LZ_HOUSTON,LZ,30.54
07/06/2025,19,4,N,LZ_HOUSTON,LZ,31.76
07/06/2025,20,1,N,LZ_HOUSTON,LZ,30.53
